session,flight,W_ms,status,n_points,detect_sum_ms,triangulate_ms,ransac_ms,total_compute_ms,w_plus_compute_ms,position_error_mm,velocity_error_a_mm_s,velocity_error_b_mm_s,lead_time_ms,reason
2026_07_15_gym,flight_15,350.0,ok,22,425.1480449959636,0.14262299239635468,124.76247300207615,550.0531409904361,900.0531409904361,342.5288190049776,228.15409423870364,12171.181808263946,1248.9055,
2026_07_15_gym,flight_15,400.0,ok,23,444.4407349973917,0.14316099882125854,127.74547199904919,572.3293679952621,972.3293679952621,344.28664599635766,235.5441814742607,12170.082696041778,1232.252,
2026_07_15_gym,flight_15,430.0,ok,23,444.4407349973917,0.14167899638414383,127.32291699945927,571.9053309932351,1001.9053309932351,344.28664599635766,235.5441814742607,12170.082696041778,1232.252,
2026_07_15_gym,flight_17,150.0,ok,10,193.5032780021429,0.09574899822473526,89.87239500135183,283.4714220017195,433.4714220017195,236.15609171028535,241.4215701350765,9430.828041808589,1298.8580000000002,
2026_07_15_gym,flight_17,200.0,ok,13,252.07303699851036,0.10552700608968735,98.19065200537443,350.3692160099745,550.3692160099745,805.3372709923564,547.2190291298003,9194.004800984974,1248.903,
2026_07_15_gym,flight_17,250.0,ok,15,290.7194389998913,0.11641699820756912,100.60671299695969,391.44256899505854,641.4425689950585,279.19831362420314,286.19050548130053,9382.98083084028,1198.948,
2026_07_15_gym,flight_17,300.0,ok,18,348.4281779974699,0.13347499817609787,114.27087899297476,462.83253198862076,762.8325319886208,248.8592842736268,245.8484035686465,9427.25398060618,1148.992,
2026_07_15_gym,flight_17,350.0,ok,19,368.45726400613785,0.13232599943876266,119.13985599577427,487.7294460013509,837.7294460013509,280.94124204162404,266.35814040908775,9410.248216521613,1115.6875,
2026_07_15_gym,flight_17,400.0,ok,20,388.10768799483776,0.13717900216579437,121.21271999925375,509.4575869962573,909.4575869962573,253.2969614028998,251.64257797323668,9423.519112540362,1065.7320000000002,
2026_07_15_gym,flight_17,430.0,ok,20,388.10768799483776,0.13602999597787857,121.10008099675179,509.3437989875674,939.3437989875674,253.2969614028998,251.64257797323668,9423.519112540362,1065.7320000000002,
2026_07_15_gym,flight_19,150.0,ok,10,193.28574194014072,0.09734100103378296,94.82689799368382,288.2099809348583,438.2099809348583,629.7500694064063,433.67642785129675,8592.18031044548,1282.2085,
2026_07_15_gym,flight_19,200.0,ok,13,250.7127719372511,0.1078610047698021,112.58060299605131,363.4012359380722,563.4012359380722,503.53863983239216,483.76073389034514,8540.577617162304,1232.251,
2026_07_15_gym,flight_19,250.0,ok,16,307.88155695050955,0.11658400297164917,108.25204200297594,416.25018295645714,666.2501829564571,428.28144482406515,511.51598380661045,8511.877819809933,1182.2955,
2026_07_15_gym,flight_19,300.0,ok,19,364.84306395053864,0.1318259909749031,129.98970299214125,494.9645929336548,794.9645929336548,601.3748794637258,436.9625956996996,8579.500956807335,1132.3384999999998,
2026_07_15_gym,flight_19,350.0,ok,22,422.49976094812155,0.14740099757909775,141.2117120027542,563.8588739484549,913.8588739484549,193.0960940071565,620.1902891884982,8424.41437556438,1082.383,
2026_07_15_gym,flight_19,400.0,ok,25,480.0956949517131,0.15118000656366348,144.6880690008402,624.9349439591169,1024.934943959117,137.48537213073854,655.4975856818012,8400.775922569952,1032.427,
2026_07_15_gym,flight_19,430.0,ok,26,499.0168149471283,0.15710599720478058,150.97289001196623,650.1468109562993,1080.1468109562993,167.99798059027628,636.4855741283216,8413.787093157875,1015.7750000000001,
2026_07_15_gym,flight_20,150.0,fit_failed,,,,,,,,,,,ransac_fit: no candidate model reached >= min_samples (8) inliers over 3 iterations
2026_07_15_gym,flight_20,200.0,fit_failed,,,,,,,,,,,ransac_fit: no candidate model reached >= min_samples (8) inliers over 3 iterations
2026_07_15_gym,flight_20,250.0,ok,16,305.6931400001049,0.1235480010509491,102.78899500519037,408.6056830063462,658.6056830063462,306.04267125053076,336.48159956017383,971.3690896320901,1215.6,
2026_07_15_gym,flight_20,300.0,ok,19,362.54828798770905,0.13136299699544907,118.08387500047684,480.76352598518133,780.7635259851813,338.2075189508141,195.0172860441426,1085.2337236495257,1165.644,
