cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,400,3,0,-2790.0000,0.0000,47,35,0.744681
SHORT,400,400,3,1,-2790.0000,40.0000,47,33,0.702128
SHORT,400,400,3,2,-2790.0000,80.0000,47,36,0.765957
SHORT,400,400,3,3,-2790.0000,120.0000,47,36,0.765957
SHORT,400,400,3,4,-2790.0000,160.0000,47,36,0.765957
SHORT,400,400,3,5,-2790.0000,200.0000,47,34,0.723404
SHORT,400,400,3,6,-2790.0000,240.0000,47,34,0.723404
SHORT,400,400,3,7,-2790.0000,280.0000,47,38,0.808511
SHORT,400,400,3,8,-2790.0000,320.0000,47,35,0.744681
SHORT,400,400,3,9,-2790.0000,360.0000,47,35,0.744681
SHORT,400,400,4,0,-2750.0000,0.0000,47,36,0.765957
SHORT,400,400,4,1,-2750.0000,40.0000,47,33,0.702128
SHORT,400,400,4,2,-2750.0000,80.0000,47,37,0.787234
SHORT,400,400,4,3,-2750.0000,120.0000,47,35,0.744681
SHORT,400,400,4,4,-2750.0000,160.0000,47,37,0.787234
SHORT,400,400,4,5,-2750.0000,200.0000,47,34,0.723404
SHORT,400,400,4,6,-2750.0000,240.0000,47,33,0.702128
SHORT,400,400,4,7,-2750.0000,280.0000,47,37,0.787234
SHORT,400,400,4,8,-2750.0000,320.0000,47,36,0.765957
SHORT,400,400,4,9,-2750.0000,360.0000,47,37,0.787234
SHORT,400,400,5,0,-2710.0000,0.0000,47,32,0.680851
SHORT,400,400,5,1,-2710.0000,40.0000,47,31,0.659574
SHORT,400,400,5,2,-2710.0000,80.0000,47,33,0.702128
SHORT,400,400,5,3,-2710.0000,120.0000,47,31,0.659574
SHORT,400,400,5,4,-2710.0000,160.0000,47,33,0.702128
SHORT,400,400,5,5,-2710.0000,200.0000,47,30,0.638298
SHORT,400,400,5,6,-2710.0000,240.0000,47,29,0.617021
SHORT,400,400,5,7,-2710.0000,280.0000,47,33,0.702128
SHORT,400,400,5,8,-2710.0000,320.0000,47,32,0.680851
SHORT,400,400,5,9,-2710.0000,360.0000,47,33,0.702128
SHORT,400,400,6,0,-2670.0000,0.0000,47,38,0.808511
SHORT,400,400,6,1,-2670.0000,40.0000,47,36,0.765957
SHORT,400,400,6,2,-2670.0000,80.0000,47,37,0.787234
SHORT,400,400,6,3,-2670.0000,120.0000,47,35,0.744681
SHORT,400,400,6,4,-2670.0000,160.0000,47,37,0.787234
SHORT,400,400,6,5,-2670.0000,200.0000,47,36,0.765957
SHORT,400,400,6,6,-2670.0000,240.0000,47,35,0.744681
SHORT,400,400,6,7,-2670.0000,280.0000,47,38,0.808511
SHORT,400,400,6,8,-2670.0000,320.0000,47,37,0.787234
SHORT,400,400,6,9,-2670.0000,360.0000,47,37,0.787234
SHORT,400,400,7,0,-2630.0000,0.0000,47,40,0.851064
SHORT,400,400,7,1,-2630.0000,40.0000,47,36,0.765957
SHORT,400,400,7,2,-2630.0000,80.0000,47,39,0.829787
SHORT,400,400,7,3,-2630.0000,120.0000,47,35,0.744681
SHORT,400,400,7,4,-2630.0000,160.0000,47,38,0.808511
SHORT,400,400,7,5,-2630.0000,200.0000,47,36,0.765957
SHORT,400,400,7,6,-2630.0000,240.0000,47,35,0.744681
SHORT,400,400,7,7,-2630.0000,280.0000,47,39,0.829787
SHORT,400,400,7,8,-2630.0000,320.0000,47,38,0.808511
SHORT,400,400,7,9,-2630.0000,360.0000,47,38,0.808511
SHORT,400,400,8,0,-2590.0000,0.0000,47,40,0.851064
SHORT,400,400,8,1,-2590.0000,40.0000,47,36,0.765957
SHORT,400,400,8,2,-2590.0000,80.0000,47,39,0.829787
SHORT,400,400,8,3,-2590.0000,120.0000,47,35,0.744681
SHORT,400,400,8,4,-2590.0000,160.0000,47,38,0.808511
SHORT,400,400,8,5,-2590.0000,200.0000,47,36,0.765957
