session,flight,bin,T_ms,vx_own,vy_own,vz_own,vx_ref,vy_ref,vz_ref,err_vx,err_vy,err_vz,velocity_error_mm_s
2026_07_21_gym,flight_106,LOB,1000,3109.677931369816,-3.0612210750903848,-6114.8578534264525,3117.313017563516,-21.434492822933297,-6096.31951939582,-7.635086193699863,18.373271747842914,-18.53833403063254,27.19451202975761
2026_07_21_gym,flight_106,LOB,1050,3098.296124173462,27.168998190589903,-6121.057465804639,3117.313017563516,-21.434492822933297,-6096.31951939582,-19.016893390054065,48.6034910135232,-24.73794640881897,57.757316120435625
2026_07_21_gym,flight_106,LOB,1100,3114.647992386124,-10.292660009497077,-6096.920199471154,3117.313017563516,-21.434492822933297,-6096.31951939582,-2.665025177392181,11.14183281343622,-0.6006800753339121,11.471861845036573
2026_07_21_gym,flight_106,LOB,1150,3127.780647299303,-22.60108618211987,-6074.398159491301,3117.313017563516,-21.434492822933297,-6096.31951939582,10.467629735786886,-1.1665933591865745,21.921359904518795,24.3203254997689
2026_07_21_gym,flight_106,LOB,1200,3122.034817122527,-38.64243294949446,-6093.954676596142,3117.313017563516,-21.434492822933297,-6096.31951939582,4.721799559010833,-17.207940126561166,2.3648427996777173,18.000029887252122
2026_07_21_gym,flight_106,LOB,1250,3116.1842555096314,-2.0165223067678726,-6082.147129960973,3117.313017563516,-21.434492822933297,-6096.31951939582,-1.1287620538846568,19.417970516165425,14.172389434846991,24.066331358018363
2026_07_21_gym,flight_107,LOB,150,2643.99745366877,529.6665077644857,-7756.1979484686,3197.0459471464087,160.16995944412193,-6521.837896961402,-553.0484934776387,369.4965483203638,-1234.3600515071976,1402.1537262780423
2026_07_21_gym,flight_107,LOB,200,2656.363127066433,633.4808933072276,-7716.22813817166,3197.0459471464087,160.16995944412193,-6521.837896961402,-540.6828200799755,473.3109338631057,-1194.390241210258,1393.8899527374097
2026_07_21_gym,flight_107,LOB,250,2889.727790106457,193.1425544858372,-7239.22215461202,3197.0459471464087,160.16995944412193,-6521.837896961402,-307.31815703995153,32.972595041715266,-717.3842576506177,781.1349529979731
2026_07_21_gym,flight_107,LOB,300,2712.669365984216,723.7174825555419,-7541.342733022782,3197.0459471464087,160.16995944412193,-6521.837896961402,-484.3765811621929,563.54752311142,-1019.50483606138,1261.5849531188653
