bin,T_ms,deadline_ms,n_fit_ok,latency_median_ms,latency_p95_ms,T_ready_median_ms,T_ready_p95_ms,margin_median_ms,margin_p95_ms,feasible_p95,position_error_median_mm,position_error_iqr_mm
LOB,700.0,1080.0,60,244.06628616635376,274.9237523665807,944.0662861663537,974.9237523665806,135.93371383364624,105.07624763341931,True,90.66969058432895,69.14585748635244
LOB,750.0,1080.0,60,248.10527716685706,269.0237072652827,998.105277166857,1019.0237072652827,81.89472283314294,60.976292734717276,True,91.10813653894712,71.38146888064519
LOB,800.0,1080.0,59,255.48475766616562,278.8137468660872,1055.4847576661657,1078.813746866087,24.51524233383438,1.1862531339128282,True,76.67311600654273,56.319400785078365
LOB,850.0,1080.0,60,263.4194536680977,288.0798839659586,1113.4194536680977,1138.0798839659585,-33.419453668097674,-58.07988396595857,False,64.67847503488971,51.18898387740161
LOB,900.0,1080.0,59,273.1426286675657,310.52280186467493,1173.1426286675658,1210.5228018646749,-93.1426286675657,-130.52280186467493,False,63.56464081633558,49.049842678320324
LOB,950.0,1080.0,60,282.8118986656579,307.97987691845435,1232.811898665658,1257.9798769184545,-152.8118986656579,-177.97987691845435,False,54.64710419503987,47.74418463661796
LOB,1000.0,1080.0,60,288.8230641667421,333.4119365668079,1288.8230641667421,1333.411936566808,-208.82306416674209,-253.41193656680792,False,51.2458598514453,36.92050706460577
LOB,1050.0,1080.0,60,295.0256296663235,334.7914609683367,1345.0256296663235,1384.7914609683367,-265.0256296663235,-304.7914609683367,False,44.49857423292384,35.85677341246368
LOB,1100.0,1080.0,56,303.49869366611046,351.1152869164168,1403.4986936661105,1451.1152869164168,-323.49869366611046,-371.1152869164168,False,39.28047420549696,39.03414204023347
LOB,1150.0,1080.0,60,311.1607226675066,336.7316228648802,1461.1607226675067,1486.7316228648801,-381.1607226675066,-406.7316228648802,False,34.85421481598918,37.51535476831624
LOB,1200.0,1080.0,59,310.22124066731584,356.8307570661107,1510.221240667316,1556.8307570661107,-430.22124066731584,-476.8307570661107,False,34.35048696573446,24.034741568917557
LOB,1250.0,1080.0,59,317.6476666663463,359.4723214660461,1567.6476666663464,1609.4723214660462,-487.6476666663463,-529.4723214660461,False,34.168471762992496,30.207898054879248
