session,flight,threshold_mm,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,accepted_frames,fit_window_duration_ms
2026_07_15_gym,flight_12,75.0,18,ok,133.3573,151.5591,18,26,32;33;35;36;37;38;39;41;42;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,19,ok,139.8484,228.3889,12,26,36;38;39;41;42;44;47;48;50;51;53;57,416.3005
2026_07_15_gym,flight_12,75.0,20,ok,128.8978,195.2162,12,26,32;34;35;37;40;43;44;48;51;53;56;57,416.3005
2026_07_15_gym,flight_12,75.0,21,ok,124.3045,176.8956,17,26,32;33;34;35;36;37;38;40;43;44;47;48;50;51;53;56;57,416.3005
2026_07_15_gym,flight_12,75.0,22,ok,126.5654,190.4634,16,26,32;33;34;35;37;38;40;43;44;47;48;50;51;53;56;57,416.3005
2026_07_15_gym,flight_12,75.0,23,ok,107.4287,182.4381,19,26,32;33;34;35;36;37;38;39;40;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,24,ok,126.5877,163.5321,17,26,32;33;35;36;37;38;39;41;42;44;47;48;50;51;54;56;57,416.3005
2026_07_15_gym,flight_12,100.0,0,ok,112.8555,175.8656,21,26,32;33;34;35;36;37;38;39;40;41;42;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,100.0,1,ok,107.2696,116.3991,15,26,32;33;34;35;36;37;38;39;40;43;44;48;51;53;57,416.3005
2026_07_15_gym,flight_12,100.0,2,ok,107.9997,177.0796,20,26,32;33;34;35;36;37;38;39;40;41;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,100.0,3,ok,122.8229,175.8656,21,26,32;33;34;35;36;37;38;39;40;41;42;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,100.0,4,ok,116.2345,202.4313,20,26,32;33;34;35;36;37;38;39;41;42;43;44;45;47;48;50;51;54;56;57,416.3005
