session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_57,30,30,ok,6.5426,51.9377,9.9060,2.6124,registration1,80,
2026_07_21_gym,flight_58,20,20,ok,7.4227,62.0666,15.0392,32.4405,registration1,89,"|a|=15.04 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_58,30,30,ok,7.2130,58.2708,10.3263,1.1083,registration1,89,
2026_07_21_gym,flight_59,20,20,ok,7.3258,63.5209,10.3655,5.0937,registration1,86,
2026_07_21_gym,flight_59,30,30,ok,7.0802,59.8716,8.5911,15.8180,registration1,86,"|a|=8.59 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_60,20,20,ok,7.0160,58.7964,10.5802,7.7851,registration1,90,
2026_07_21_gym,flight_60,30,30,ok,6.8813,59.2303,9.9436,4.6344,registration1,90,
2026_07_21_gym,flight_61,20,20,ok,7.6051,2.7998,10.9972,48.4332,registration2,40,gravity crosscheck diff=48.4 deg > 45.0
2026_07_21_gym,flight_61,30,30,ok,7.3063,3.7287,8.7700,22.3967,registration2,40,"|a|=8.77 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_62,20,20,ok,9.2588,8.2046,9.7321,19.2930,registration2,43,"|a|=9.73 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_62,30,30,ok,9.3988,8.5915,10.2090,19.5005,registration2,43,
2026_07_21_gym,flight_63,20,20,ok,9.8454,3.8610,15.3083,56.2692,registration2,44,"|a|=15.31 outside nominal band [9.8,11.0]; gravity crosscheck diff=56.3 deg > 45.0"
2026_07_21_gym,flight_63,30,30,ok,9.0177,4.3564,9.7135,27.4314,registration2,44,"|a|=9.71 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_64,20,20,ok,7.3870,12.0593,8.5453,20.6236,registration2,48,"|a|=8.55 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_64,30,30,ok,7.5124,12.7008,9.2862,19.7083,registration2,48,"|a|=9.29 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_65,20,20,ok,6.7196,8.6895,8.3934,9.2154,registration2,44,"|a|=8.39 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_65,30,30,ok,6.7413,9.1867,9.3897,18.1227,registration2,44,"|a|=9.39 outside nominal band [9.8,11.0]"
